apprendimento policy e Q
----------------------------------
griglia (10x10):
..........
.G.#..#...
...#.####.
.###..#...
.#...####.
.#####..#.
......S.#.
..###..##.
..#.####..
..........

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
0,0,Giu,9.29488,7.65535,9.29488,6.90254,7.66106
1,0,Giu,8.61438,6.89785,8.61438,6.69699,7.16852
2,0,Sinistra,6.58502,5.8939,6.00642,6.58502,5.77804
3,0,Sinistra,5.81661,5.16835,5.67667,5.81661,5.60314
4,0,Sinistra,6.09249,5.30545,5.09466,6.09249,5.43521
5,0,Sinistra,6.0151,5.47579,5.86965,6.0151,5.18092
6,0,Sinistra,6.26248,4.94213,4.94694,6.26248,4.91845
7,0,Sinistra,6.07659,5.01745,5.61346,6.07659,5.4876
8,0,Sinistra,5.91476,5.32243,5.31671,5.91476,5.77059
9,0,Su,6.02008,6.02008,5.68257,5.78947,5.24265
0,1,Destra,10.0007,8.12858,9.1094,8.76701,10.0007
1,1,Destra,6.97671,6.75845,5.68168,6.84694,6.97671
2,1,Sinistra,8.05472,7.27297,7.09694,8.05472,7.55142
4,1,Sinistra,5.61129,5.22487,4.82618,5.61129,4.89673
5,1,Sinistra,5.58511,5.35203,4.74886,5.58511,5.01394
7,1,Sinistra,7.38283,6.76127,6.08488,7.38283,6.64392
8,1,Destra,6.83263,6.72423,6.55085,6.29279,6.83263
9,1,Sinistra,6.32171,6.01386,6.15719,6.32171,5.56307
0,2,Su,9.49156,9.49156,8.53148,8.04433,9.4862
1,2,Su,9.99947,9.99947,8.50917,9.09969,8.782
2,2,Sinistra,9.47337,7.80796,7.36617,9.47337,8.33247
4,2,Su,5.49913,5.49913,5.49471,5.39555,5.25693
9,2,Sinistra,6.54455,6.31516,5.33795,6.54455,5.38666
0,3,Su,9.00703,9.00703,8.0562,7.53637,7.60585
4,3,Sinistra,6.0869,5.87786,5.79993,6.0869,5.57851
5,3,Sinistra,6.04938,5.2607,5.26388,6.04938,4.98014
7,3,Sinistra,7.1807,6.97571,6.42834,7.1807,6.8378
8,3,Sinistra,5.4826,4.52939,4.43547,5.4826,4.82787
9,3,Su,6.96322,6.96322,6.33594,6.91085,6.28402
0,4,Su,8.54652,8.54652,7.67194,7.08407,7.15915
2,4,Giu,5.7471,5.57325,5.7471,5.37854,5.60994
3,4,Sinistra,5.82918,5.55955,5.22311,5.82918,5.43432
4,4,Sinistra,6.16995,5.5141,5.40787,6.16995,5.30721
9,4,Giu,5.57845,5.45195,5.57845,5.16904,4.67067
0,5,Su,8.10798,8.10798,7.27852,6.67384,6.74379
6,5,Giu,5.31523,4.05228,5.31523,3.93259,4.63211
7,5,Giu,5.03521,3.81071,5.03521,4.83498,3.4996
9,5,Giu,6.34466,6.05969,6.34466,6.17295,5.46833
0,6,Su,7.69263,7.69263,6.89812,6.30096,6.92383
1,6,Sinistra,7.29754,5.94689,6.50975,7.29754,6.54517
2,6,Sinistra,6.92253,5.58389,5.57305,6.92253,6.222
3,6,Sinistra,6.5657,5.23235,5.19989,6.5657,5.94518
4,6,Sinistra,6.22789,4.92743,4.9003,6.22789,5.6069
5,6,Sinistra,5.90709,4.62942,5.30023,5.90709,5.29491
6,6,Sinistra,5.60163,5.05117,5.03478,5.60163,5.06391
7,6,Sinistra,5.32337,4.65943,3.89521,5.32337,4.01926
9,6,Giu,7.00959,6.61427,7.00959,6.39901,5.95277
0,7,Su,7.30167,7.30167,6.75862,5.96723,6.50486
1,7,Sinistra,6.88618,6.67837,6.19986,6.88618,6.01324
5,7,Su,5.60371,5.60371,4.29645,4.32134,5.07882
6,7,Sinistra,5.31774,5.1526,4.03437,5.31774,4.12105
9,7,Su,6.84745,6.84745,6.43266,5.64523,5.52029
0,8,Su,7.10082,7.10082,6.17027,5.61015,6.1986
1,8,Su,6.67455,6.67455,6.22044,6.33319,5.73104
3,8,Giu,6.14257,5.65759,6.14257,5.35459,5.10081
8,8,Sinistra,6.32662,6.02335,5.82207,6.32662,6.27937
9,8,Sinistra,6.75698,6.21595,6.51937,6.75698,5.51415
0,9,Su,6.83058,6.83058,5.69033,5.90076,6.30468
1,9,Sinistra,6.43458,5.97565,5.22571,6.43458,6.19841
2,9,Sinistra,6.15453,5.23157,4.90728,6.15453,5.64607
3,9,Sinistra,6.43802,5.9646,4.91464,6.43802,5.92377
4,9,Sinistra,6.38841,5.27226,5.70743,6.38841,5.92233
5,9,Sinistra,6.58047,5.44483,5.39599,6.58047,5.624
6,9,Sinistra,6.31106,5.7066,5.66999,6.31106,5.87871
7,9,Sinistra,6.83368,6.19358,5.86285,6.83368,5.98192
8,9,Sinistra,6.34976,6.2073,5.52877,6.34976,6.29032
9,9,Sinistra,6.4506,6.32163,5.47472,6.4506,5.89571
