apprendimento policy e Q
----------------------------------
griglia (10x10):
..........
..S.......
..######..
..######..
..######..
..######..
..######..
..######..
.......G..
..........

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
0,0,Destra,4.48901,3.12399,4.36074,3.51197,4.48901
1,0,Giu,4.4923,3.36905,4.4923,4.17555,4.46544
2,0,Destra,4.77347,3.50772,4.62535,4.35372,4.77347
3,0,Giu,5.03573,3.84506,5.03573,4.5763,5.00144
4,0,Destra,5.31023,4.09366,5.28876,4.81185,5.31023
5,0,Destra,5.60031,4.43921,5.35919,5.07717,5.60031
6,0,Giu,5.90672,4.59337,5.90672,5.34224,5.89612
7,0,Giu,6.22852,4.90522,6.22852,5.6,6.21205
8,0,Giu,6.565,5.19277,6.565,5.96625,5.86017
9,0,Giu,6.21081,5.02802,6.21081,5.78969,5.0667
0,1,Destra,4.34492,4.11956,4.11166,3.58437,4.34492
1,1,Destra,4.77416,4.26469,4.21601,4.21727,4.77416
2,1,Destra,5.03552,4.52842,3.79247,4.52081,5.03552
3,1,Destra,5.31118,4.77166,4.05257,4.76867,5.31118
4,1,Destra,5.60122,5.03532,4.32235,5.03408,5.60122
5,1,Destra,5.90659,5.30953,4.60776,5.31397,5.90659
6,1,Destra,6.22808,5.60308,4.91181,5.60536,6.22808
7,1,Destra,6.56644,5.90766,5.23506,5.91368,6.56644
8,1,Giu,6.92279,6.23419,6.92279,6.23048,6.21991
9,1,Sinistra,6.5658,6.06824,6.48378,6.5658,5.39378
0,2,Destra,3.94309,3.69524,3.72867,3.24821,3.94309
1,2,Sinistra,4.02292,3.85611,3.95112,4.02292,3.35316
8,2,Giu,7.2977,6.56471,7.2977,5.93418,6.57748
9,2,Giu,6.9299,6.23396,6.9299,6.86726,5.55805
0,3,Destra,4.30361,4.02869,4.14315,3.54162,4.30361
1,3,Giu,4.06815,3.87882,4.06815,3.98223,3.54368
8,3,Giu,7.69231,6.92616,7.69231,6.30219,6.93145
9,3,Giu,7.30222,6.53252,7.30222,7.21881,5.97469
0,4,Destra,4.20705,4.12034,4.14363,3.65232,4.20705
1,4,Giu,3.91963,3.79848,3.91963,3.87347,3.23562
8,4,Giu,8.1077,7.29548,8.1077,6.70908,7.30311
9,4,Giu,7.69844,6.93882,7.69844,7.64675,6.34373
0,5,Giu,4.28344,3.95848,4.28344,3.58308,4.19959
1,5,Su,4.00889,4.00889,3.86692,3.95663,3.24324
8,5,Giu,8.54512,7.69784,8.54512,7.11086,7.69384
9,5,Giu,8.11503,7.31574,8.11503,8.01665,6.71511
0,6,Giu,4.40998,4.10236,4.40998,3.38946,4.36506
1,6,Su,4.33822,4.33822,4.18411,4.219,3.91433
8,6,Giu,9.00555,8.09989,9.00555,7.56553,8.11724
9,6,Giu,8.55133,7.75502,8.55133,8.42929,7.13368
0,7,Destra,4.69636,4.36248,4.38466,3.59372,4.69636
1,7,Giu,4.88921,4.43523,4.88921,4.59308,4.08482
8,7,Giu,9.48999,8.54427,9.48999,8.0201,8.55128
9,7,Giu,9.00756,8.09834,9.00756,8.90967,7.55203
0,8,Giu,4.74173,4.57165,4.74173,3.71007,4.69951
1,8,Destra,5.63965,5.02835,5.45983,5.20214,5.63965
2,8,Destra,7.01322,5.70592,6.03442,5.69726,7.01322
3,8,Destra,8.63015,6.93672,7.03119,6.58118,8.63015
4,8,Destra,9.70702,7.52578,8.02242,7.44647,9.70702
5,8,Destra,10.3758,7.83019,8.39936,8.27499,10.3758
6,8,Destra,10.0886,8.96995,8.84983,7.76157,10.0886
7,8,Destra,6.50199,4.69376,4.96064,5.4775,6.50199
8,8,Sinistra,9.99959,9.0081,9.02114,9.99959,9.00877
9,8,Sinistra,9.49095,8.55212,8.45055,9.49095,7.98464
0,9,Destra,5.30146,4.72734,4.26627,4.12389,5.30146
1,9,Destra,5.95396,5.14277,4.74247,4.93456,5.95396
2,9,Destra,6.36839,5.53796,5.02481,5.31662,6.36839
3,9,Su,7.02737,7.02737,5.74283,6.40738,6.83683
4,9,Su,7.56179,7.56179,6.20585,6.67937,7.39853
5,9,Destra,9.14213,7.94901,6.60375,7.31689,9.14213
6,9,Su,9.87808,9.87808,7.81698,7.73431,9.69493
7,9,Su,10.0025,10.0025,8.5898,8.99015,8.85912
8,9,Sinistra,9.49453,9.44477,8.18943,9.49453,8.14696
9,9,Sinistra,9.07421,8.45399,7.75041,9.07421,7.45453
