apprendimento policy e Q
----------------------------------
griglia (12x12):
.##...#.#...
.S#.........
..#...#.#...
..#..####...
..#..#......
..#..####...
............
............
......#..#..
..#.....##..
..#...G.#.#.
..###...###.

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
0,0,Giu,4.6125,3.26888,4.6125,3.14544,3.6278
3,0,Giu,6.37699,6.04066,6.37699,5.63259,5.94577
4,0,Destra,6.34925,5.94488,6.23601,6.25401,6.34925
5,0,Destra,5.56471,5.36404,5.13944,5.48148,5.56471
7,0,Giu,6.09495,5.307,6.09495,4.74762,5.61012
9,0,Destra,6.66476,5.68698,5.95417,5.50469,6.66476
10,0,Giu,7.21414,6.0128,7.21414,5.59586,6.4423
11,0,Giu,6.13663,5.30274,6.13663,4.96028,5.30785
0,1,Giu,4.77948,4.31956,4.77948,3.56903,4.73471
1,1,Giu,5.02411,3.76324,5.02411,4.55078,3.78647
3,1,Su,6.42125,6.42125,6.11954,6.12024,6.1126
4,1,Giu,6.52392,6.01647,6.52392,5.88345,6.3856
5,1,Giu,6.47826,5.79224,6.47826,5.9147,5.92604
6,1,Giu,6.95649,6.62638,6.95649,6.56695,6.51176
7,1,Destra,5.76455,5.35749,5.67081,5.37337,5.76455
8,1,Giu,6.03691,5.98503,6.03691,5.75889,5.6513
9,1,Destra,5.8433,4.96206,5.62118,5.02712,5.8433
10,1,Giu,6.50501,6.31559,6.50501,5.90712,6.20452
11,1,Giu,6.09546,5.87744,6.09546,5.94282,5.65998
0,2,Giu,5.03567,4.43672,5.03567,3.89804,5.01724
1,2,Giu,5.30038,4.76259,5.30038,4.78031,4.03565
3,2,Destra,6.07817,5.91621,6.00508,5.77156,6.07817
4,2,Giu,6.01042,5.62601,6.01042,5.54664,5.75176
5,2,Giu,5.54583,4.86749,5.54583,4.86164,4.90412
7,2,Giu,6.31298,6.1249,6.31298,5.47796,5.33353
9,2,Giu,7.02346,6.28177,7.02346,5.87237,6.62055
10,2,Giu,6.74209,6.51634,6.74209,6.16647,6.41693
11,2,Giu,5.36632,5.24869,5.36632,4.87644,5.05461
0,3,Giu,5.31495,4.78957,5.31495,3.9885,5.17765
1,3,Giu,5.59152,5.03806,5.59152,5.01915,4.30318
3,3,Giu,6.4187,5.4127,6.4187,5.26282,6.31789
4,3,Giu,5.72544,5.65838,5.72544,5.6922,5.37486
9,3,Giu,6.50234,5.43567,6.50234,5.06527,6.12923
10,3,Destra,6.60821,5.7429,6.60586,5.51147,6.60821
11,3,Giu,5.89102,5.8723,5.89102,5.45896,5.19772
0,4,Giu,5.5983,4.96127,5.5983,4.2862,5.49053
1,4,Giu,5.89645,5.31143,5.89645,5.29308,4.6048
