apprendimento policy e Q
----------------------------------
griglia (12x20):
............
.#......#...
.#....#.#...
.#....#.#...
.##...#.#...
.S#.........
..#...#.#...
..#..####...
..#..#......
..#..####...
............
............
......#..#..
..#.....##..
..#...G.#.#.
..###...###.
..#.#.##..#.
..###.#.....
......#####.
............

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
0,0,Destra,4.24613,2.71331,3.99827,3.21647,4.24613
1,0,Destra,3.99316,3.52693,3.92198,3.84495,3.99316
2,0,Giu,5.49463,4.6463,5.49463,4.98716,4.77566
3,0,Destra,4.28439,3.58112,4.12539,3.83632,4.28439
4,0,Destra,5.80682,4.20686,5.78802,5.02078,5.80682
5,0,Giu,5.63491,4.70587,5.63491,5.11913,5.08779
6,0,Giu,5.55585,4.46742,5.55585,5.04952,5.49365
7,0,Giu,5.45423,4.77855,5.45423,4.62649,5.10723
8,0,Sinistra,4.24957,3.60674,3.84613,4.24957,3.58693
9,0,Giu,5.69681,5.17168,5.69681,5.28257,5.10294
10,0,Giu,4.50514,4.21308,4.50514,4.09952,4.39093
11,0,Giu,5.41737,4.39829,5.41737,4.85946,4.69426
0,1,Giu,4.47723,3.15967,4.47723,3.10068,3.44677
2,1,Giu,5.69137,4.85759,5.69137,5.16097,5.58732
3,1,Giu,5.86515,5.51331,5.86515,5.25363,5.85731
4,1,Giu,6.11967,5.66336,6.11967,5.25808,5.90054
5,1,Destra,5.65876,5.59334,5.14435,5.57448,5.65876
6,1,Sinistra,5.56136,5.55633,5.55244,5.56136,5.47751
7,1,Su,5.39339,5.39339,5.25999,5.35173,4.69587
9,1,Su,6.14965,6.14965,6.0881,6.00858,5.87893
10,1,Giu,6.29117,5.91736,6.29117,5.55655,6.22083
11,1,Giu,5.25357,4.04324,5.25357,4.75191,5.17254
0,2,Giu,4.0047,2.96581,4.0047,2.79954,3.65464
2,2,Giu,5.53409,4.90976,5.53409,4.7002,5.50667
3,2,Giu,6.66115,5.98257,6.66115,6.26132,6.29905
4,2,Destra,6.48833,5.86359,6.42047,5.89064,6.48833
5,2,Sinistra,6.04886,5.8244,5.2874,6.04886,5.07528
7,2,Giu,4.93003,4.11424,4.93003,4.35051,4.29962
9,2,Giu,6.18418,6.02246,6.18418,5.72796,5.95738
10,2,Giu,4.94267,4.88809,4.94267,4.03329,4.62978
11,2,Su,4.79585,4.79585,4.62472,4.31657,3.79922
0,3,Giu,4.13146,2.82286,4.13146,3.02984,2.51143
2,3,Destra,5.15776,5.01105,4.59151,4.31061,5.15776
3,3,Giu,6.33441,5.74414,6.33441,5.96969,6.20958
4,3,Sinistra,5.95585,5.50294,5.67594,5.95585,5.66584
5,3,Su,5.329,5.329,5.10084,5.01295,5.29321
7,3,Giu,4.9706,4.0782,4.9706,4.35687,4.36172
9,3,Destra,4.87833,4.67811,4.84206,4.57828,4.87833
10,3,Destra,6.00803,5.41064,5.43745,5.21206,6.00803
11,3,Sinistra,6.02774,5.43473,5.99054,6.02774,5.56697
0,4,Giu,4.67179,3.8689,4.67179,3.15636,3.08142
3,4,Destra,5.76916,5.3278,5.05495,4.67929,5.76916
4,4,Destra,6.19205,5.49004,6.02462,5.40581,6.19205
5,4,Giu,5.01502,4.9441,5.01502,4.8706,4.00186
7,4,Giu,5.55096,4.87678,5.55096,4.24619,4.54936
9,4,Destra,4.29578,3.89121,3.97602,3.32173,4.29578
10,4,Giu,5.99004,5.79273,5.99004,5.56977,5.87097
11,4,Giu,5.71429,5.38415,5.71429,5.45065,5.11169
0,5,Giu,4.79772,4.15373,4.79772,3.70025,4.68813
1,5,Giu,5.03799,3.77722,5.03799,4.53664,3.78495
3,5,Giu,5.64486,4.70149,5.64486,4.39637,5.47831
4,5,Destra,5.62615,5.37892,5.30269,5.239,5.62615
5,5,Giu,5.70301,5.23141,5.70301,5.33971,5.53777
6,5,Destra,5.0879,3.84079,4.25887,4.90321,5.0879
7,5,Destra,5.43821,4.84767,4.54509,5.3811,5.43821
8,5,Giu,4.81653,3.77092,4.81653,3.98521,4.73401
9,5,Giu,5.35173,4.49582,5.35173,4.78412,4.9856
10,5,Giu,5.54966,5.27389,5.54966,5.47978,5.14554
11,5,Sinistra,5.00234,4.37318,4.91566,5.00234,4.87111
0,6,Giu,5.05933,4.44003,5.05933,3.77015,4.81663
1,6,Giu,5.31367,4.77306,5.31367,4.80236,4.04547
3,6,Destra,5.49653,4.93109,5.36833,4.65705,5.49653
4,6,Destra,4.85916,4.80862,4.83371,4.46196,4.85916
5,6,Sinistra,4.59328,4.16689,4.28431,4.59328,4.55379
7,6,Destra,3.08218,2.32922,2.80615,2.86195,3.08218
9,6,Destra,6.42995,5.49444,5.8683,5.76516,6.42995
10,6,Giu,5.8309,4.97464,5.8309,5.23681,5.34926
11,6,Destra,5.32199,4.84566,5.28376,4.75642,5.32199
0,7,Giu,5.32224,4.56708,5.32224,4.14461,5.19035
1,7,Giu,5.60417,5.02617,5.60417,5.05217,4.33436
3,7,Destra,6.02263,5.15182,5.79164,5.13903,6.02263
4,7,Sinistra,5.13524,4.82872,4.96848,5.13524,4.58263
9,7,Giu,5.31721,4.23631,5.31721,4.11659,5.09563
10,7,Giu,5.87672,4.98831,5.87672,5.07715,5.70626
11,7,Giu,6.27384,5.48329,6.27384,4.94436,5.2836
0,8,Giu,5.61096,4.99757,5.61096,4.35855,5.52207
1,8,Giu,5.90993,5.29789,5.90993,5.31671,4.61946
3,8,Giu,5.6933,5.1807,5.6933,4.20073,5.64745
4,8,Giu,5.98253,5.32818,5.98253,5.78835,5.84124
6,8,Destra,2.70837,2.16432,2.51831,2.36098,2.70837
7,8,Su,2.80365,2.80365,2.27317,2.52389,2.77536
8,8,Sinistra,3.59483,3.07631,3.43865,3.59483,3.28497
9,8,Giu,5.38953,4.85276,5.38953,5.0157,5.32277
10,8,Su,6.20918,6.20918,6.18972,5.53897,6.19992
11,8,Destra,5.5402,5.40065,5.45229,4.9992,5.5402
0,9,Giu,5.9153,5.28523,5.9153,4.70377,5.77974
1,9,Giu,6.23421,5.57287,6.23421,5.6238,4.93452
3,9,Giu,6.161,5.16152,6.161,4.27754,5.52549
4,9,Giu,5.98449,5.93084,5.98449,5.85517,5.46468
9,9,Giu,6.03903,4.63635,6.03903,4.44188,5.42334
10,9,Destra,6.42969,5.10479,6.19064,5.15572,6.42969
11,9,Giu,5.8041,5.73649,5.8041,5.45211,5.16851
0,10,Destra,6.23448,5.45988,6.11204,4.98987,6.23448
1,10,Giu,6.57305,5.92516,6.57305,5.88035,6.55617
2,10,Giu,6.92794,5.5377,6.92794,6.26119,6.86155
3,10,Destra,7.34046,6.50234,7.13203,6.73568,7.34046
4,10,Destra,7.76472,6.48744,7.30593,7.12263,7.76472
5,10,Giu,8.16791,6.73728,8.16791,7.13128,6.18711
6,10,Giu,6.47259,5.38593,6.47259,5.83372,6.14473
7,10,Giu,5.70919,4.58377,5.70919,4.72227,5.35991
8,10,Giu,5.62526,4.71038,5.62526,4.65272,5.62147
9,10,Sinistra,5.83859,5.34475,5.49712,5.83859,5.51494
10,10,Giu,6.42795,5.25174,6.42795,5.21127,6.31469
11,10,Destra,5.76498,5.28974,5.36809,5.28657,5.76498
0,11,Destra,6.57776,5.78573,6.00438,5.11348,6.57776
1,11,Destra,6.92802,6.35033,6.848,6.22723,6.92802
2,11,Giu,7.30173,6.59521,7.30173,6.5821,7.20534
3,11,Giu,7.69628,7.37825,7.69628,6.95002,7.08761
4,11,Destra,8.13901,7.45172,7.98929,7.44238,8.13901
5,11,Giu,8.55699,7.42145,8.55699,7.4133,7.50238
6,11,Sinistra,8.01769,6.96301,6.28696,8.01769,6.98889
7,11,Giu,7.25218,6.64961,7.25218,6.10247,6.51372
8,11,Destra,6.48048,5.85753,6.25736,5.97826,6.48048
9,11,Destra,5.80503,5.43419,5.5822,5.38377,5.80503
10,11,Giu,5.82185,5.0276,5.82185,5.48658,5.77517
11,11,Giu,5.57363,5.35998,5.57363,5.32332,5.05426
0,12,Destra,6.50402,6.24659,6.32307,5.69737,6.50402
1,12,Destra,7.30263,6.18341,6.43158,6.30154,7.30263
2,12,Destra,7.69674,6.93661,6.339,6.83881,7.69674
3,12,Giu,8.11321,7.27496,8.11321,7.31524,8.10805
4,12,Giu,8.54541,7.77718,8.54541,7.56554,8.42687
5,12,Giu,9.00814,7.8246,9.00814,8.12546,7.60339
7,12,Giu,9.03153,7.18383,9.03153,6.53541,7.51555
8,12,Sinistra,7.71999,6.73112,6.00868,7.71999,6.44327
10,12,Destra,5.37006,5.20109,4.95851,4.28381,5.37006
11,12,Giu,5.95546,5.82926,5.95546,5.75099,5.81434
0,13,Destra,4.8393,4.4445,4.76221,3.84331,4.8393
1,13,Su,5.61891,5.61891,5.5037,5.32233,4.65427
3,13,Destra,8.54746,7.67571,8.42891,7.16592,8.54746
4,13,Destra,9.00566,8.09266,8.96963,8.13002,9.00566
5,13,Giu,9.4881,8.53389,9.4881,8.53122,9.46669
6,13,Giu,9.9867,8.51464,9.9867,8.96096,9.28434
7,13,Giu,9.73973,8.76521,9.73973,9.05387,8.16845
10,13,Giu,5.18317,4.93585,5.18317,4.8273,5.12458
11,13,Sinistra,5.38007,5.15788,5.21581,5.38007,5.07529
0,14,Giu,4.63389,4.00528,4.63389,3.28546,4.1347
1,14,Giu,4.48666,4.03875,4.48666,4.46605,4.23044
3,14,Destra,9.00611,8.59872,7.96763,7.55199,9.00611
4,14,Destra,9.49407,8.33478,8.39517,8.44513,9.49407
5,14,Destra,9.99822,8.97989,9.0347,8.99917,9.99822
6,14,Destra,6.84389,6.80584,6.34257,6.48841,6.84389
7,14,Sinistra,10.0402,7.74645,7.90474,10.0402,7.85397
9,14,Destra,5.80243,4.66268,5.49395,4.94194,5.80243
11,14,Giu,5.75626,4.72161,5.75626,4.52413,4.59933
0,15,Giu,4.25637,3.84296,4.25637,3.18721,4.07502
1,15,Giu,4.40387,3.92166,4.40387,4.21446,3.29687
5,15,Su,9.50415,9.50415,8.02229,8.26171,8.13921
6,15,Su,8.99356,8.99356,8.47229,8.12348,8.15577
7,15,Su,8.02845,8.02845,7.54519,7.4012,7.27426
11,15,Giu,4.86056,4.73793,4.86056,4.11495,4.35338
0,16,Giu,4.231,3.46577,4.231,3.13215,3.84259
1,16,Sinistra,4.14552,4.00469,4.09012,4.14552,3.24883
3,16,Giu,6.09511,5.38296,6.09511,5.74293,5.49546
5,16,Su,7.67753,7.67753,7.19777,7.10464,6.65704
8,16,Destra,6.39023,5.09486,6.20993,5.19341,6.39023
9,16,Destra,6.26951,5.7932,6.1541,6.20645,6.26951
11,16,Giu,3.8298,3.37205,3.8298,3.14884,3.07024
0,17,Giu,3.46439,3.10355,3.46439,2.55333,3.4454
1,17,Giu,3.63128,3.26217,3.63128,3.38525,2.95745
5,17,Giu,5.41687,5.18962,5.41687,4.44308,4.71795
7,17,Giu,3.77205,3.59344,3.77205,2.78838,3.20376
8,17,Destra,4.56788,4.11813,4.41588,4.28404,4.56788
9,17,Giu,5.41256,4.85129,5.41256,4.07383,5.30992
10,17,Destra,5.78739,4.21744,4.92028,5.39138,5.78739
11,17,Sinistra,5.09983,4.51819,5.07988,5.09983,4.57993
0,18,Giu,3.91507,3.17013,3.91507,2.92771,3.59659
1,18,Giu,3.68875,3.40257,3.68875,3.43998,3.56328
2,18,Giu,3.84871,2.65299,3.84871,3.22235,3.53082
3,18,Giu,3.68654,2.50717,3.68654,3.23964,3.59634
4,18,Destra,3.79177,2.68864,3.66743,3.46225,3.79177
5,18,Giu,4.06574,3.44883,4.06574,3.6475,3.43594
11,18,Giu,4.81706,4.08928,4.81706,3.43674,3.00439
0,19,Destra,3.14495,3.00181,2.53568,2.24745,3.14495
1,19,Destra,3.4464,3.30575,2.78537,3.26111,3.4464
2,19,Sinistra,3.37371,3.19727,2.42512,3.37371,3.32112
3,19,Destra,3.52048,3.3473,2.94553,3.39184,3.52048
4,19,Sinistra,3.66387,3.33961,3.08818,3.66387,3.57402
5,19,Sinistra,3.89735,3.77203,3.24255,3.89735,3.70519
6,19,Sinistra,3.66851,3.33022,2.38667,3.66851,3.13229
7,19,Giu,3.72396,2.7153,3.72396,3.10106,3.42049
8,19,Sinistra,2.83949,2.46247,2.40232,2.83949,2.72762
9,19,Giu,3.43634,2.41018,3.43634,2.88596,3.34278
10,19,Giu,4.09984,3.08252,4.09984,3.49143,3.70671
11,19,Sinistra,3.97665,3.49541,3.81164,3.97665,3.39972
