apprendimento policy e Q
----------------------------------
griglia (15x15):
.###...........
.#S#...........
.#.#...........
.#.#...........
.#.#.####......
.#.#.#......#..
.#.#.#......#..
.#.###......#..
............#..
............#..
..#.#########..
..#.#G.........
..#.#..........
..#..#.........
..####.........

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
0,0,Giu,1.47042,0.702234,1.47042,1.30258,1.10738
4,0,Destra,2.90614,2.24106,2.84544,1.88734,2.90614
5,0,Destra,2.88948,2.27985,2.79772,2.6309,2.88948
6,0,Sinistra,2.91029,1.89586,2.66616,2.91029,2.65053
7,0,Sinistra,2.88097,2.21683,2.76453,2.88097,2.83815
8,0,Destra,2.76982,2.40447,2.71959,2.49859,2.76982
9,0,Giu,2.81321,1.79467,2.81321,2.40587,2.48338
10,0,Destra,2.50365,2.01674,2.42334,2.09412,2.50365
11,0,Destra,2.78092,2.30097,2.4979,2.72777,2.78092
12,0,Su,2.92422,2.92422,2.9089,2.90411,2.78889
13,0,Destra,3.37075,2.59352,3.01697,3.22107,3.37075
14,0,Sinistra,2.90815,1.90077,2.85293,2.90815,2.23237
0,1,Su,2.24251,2.24251,1.74418,1.60722,1.57444
2,1,Giu,1.40795,0.370257,1.40795,0.320387,0.342926
4,1,Giu,2.8896,2.57736,2.8896,2.01034,2.82646
5,1,Su,3.07638,3.07638,2.93939,2.87873,2.90951
6,1,Destra,2.98443,2.75093,2.71918,2.71922,2.98443
7,1,Destra,3.12284,3.04576,2.92033,2.67429,3.12284
8,1,Destra,3.14469,3.09973,3.06608,2.6198,3.14469
9,1,Destra,2.91157,2.68855,2.76627,2.50421,2.91157
10,1,Giu,3.04513,2.60388,3.04513,2.82993,2.98914
11,1,Destra,3.37469,3.25881,3.06696,3.08281,3.37469
12,1,Destra,3.82571,3.62126,3.55582,3.61492,3.82571
13,1,Giu,4.02234,3.09698,4.02234,3.18636,3.37283
14,1,Giu,3.10455,2.75333,3.10455,2.87963,2.48145
0,2,Giu,2.46806,2.43425,2.46806,1.84835,1.83007
2,2,Giu,1.49335,1.34046,1.49335,0.409603,0.400155
4,2,Giu,3.07346,2.72574,3.07346,2.04596,2.86033
5,2,Destra,2.93015,2.62121,2.86044,2.5784,2.93015
6,2,Su,3.17986,3.17986,3.16237,2.45727,2.74984
7,2,Su,2.9222,2.9222,2.76532,2.46175,2.8427
8,2,Su,2.99908,2.99908,2.8156,2.70186,2.93589
9,2,Destra,2.94885,2.67751,2.71345,2.582,2.94885
10,2,Destra,3.1597,2.9373,2.80547,3.06619,3.1597
11,2,Su,3.24582,3.24582,3.14093,2.84745,3.22984
12,2,Destra,3.98459,3.77059,3.9436,3.25666,3.98459
13,2,Giu,4.18989,4.0369,4.18989,3.59573,3.94843
14,2,Giu,4.01706,3.48699,4.01706,3.23405,2.93934
0,3,Su,2.36644,2.36644,2.34496,1.63312,1.85436
2,3,Giu,1.58364,1.37246,1.58364,0.510615,0.496633
4,3,Giu,2.73622,2.60832,2.73622,2.04344,2.73465
5,3,Su,2.91215,2.91215,2.40065,2.45704,2.88955
6,3,Destra,2.9114,2.30328,2.20344,2.40351,2.9114
7,3,Destra,3.14338,3.10363,2.34577,2.6478,3.14338
8,3,Su,2.89066,2.89066,2.27767,2.39925,2.84555
9,3,Destra,3.27596,3.22531,2.92617,2.98355,3.27596
10,3,Destra,3.76684,3.54177,3.63023,3.38448,3.76684
11,3,Destra,4.05238,3.45697,3.86047,3.6708,4.05238
12,3,Destra,4.28105,3.78469,4.22688,4.18519,4.28105
13,3,Giu,4.51256,4.4148,4.51256,4.09771,4.4135
14,3,Sinistra,4.1992,3.53097,3.91129,4.1992,3.5842
0,4,Su,2.45367,2.45367,2.44151,1.899,1.82024
2,4,Giu,1.67819,1.53366,1.67819,0.585983,0.587578
