apprendimento policy e Q
----------------------------------
griglia (15x20):
...............
...............
...............
...............
....#####......
........##.....
.........#.....
....###..#.....
...##.#S##.....
.....####......
......#.#......
......#....#...
......#....#...
......#....#...
......#....#...
......######...
.......G##.....
...............
...............
...............

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
0,0,Giu,3.91592,3.28359,3.91592,3.26785,3.89938
1,0,Giu,5.22678,4.22749,5.22678,4.73516,4.51577
2,0,Giu,5.12946,4.33474,5.12946,4.56543,4.74553
3,0,Giu,5.09277,4.20481,5.09277,4.97228,4.49523
4,0,Giu,4.70538,3.98716,4.70538,4.49714,4.21516
5,0,Giu,5.22989,4.71627,5.22989,4.79046,5.06359
6,0,Giu,5.19646,4.37524,5.19646,4.96846,4.85262
7,0,Sinistra,5.22792,4.74702,5.22734,5.22792,5.20409
8,0,Giu,5.70429,4.73886,5.70429,4.86856,5.05759
9,0,Giu,5.46618,4.51963,5.46618,5.04673,5.07284
10,0,Giu,5.04512,3.94576,5.04512,4.40177,4.23808
11,0,Giu,5.28026,4.46946,5.28026,4.5129,4.87715
12,0,Giu,5.50396,4.7076,5.50396,4.94481,4.97458
13,0,Giu,5.51079,4.70996,5.51079,5.01047,5.01199
14,0,Giu,5.35838,4.07636,5.35838,5.26208,4.40315
0,1,Destra,5.09006,4.63498,4.81666,4.25006,5.09006
1,1,Giu,5.0016,4.58233,5.0016,4.59183,4.93836
2,1,Giu,5.06451,4.66149,5.06451,4.6896,4.99698
3,1,Giu,4.84641,4.43461,4.84641,4.63601,4.80095
4,1,Giu,5.17402,4.65168,5.17402,4.92612,5.08283
5,1,Giu,5.29362,4.89287,5.29362,5.02276,5.17698
6,1,Destra,5.224,4.77312,5.13135,5.01594,5.224
7,1,Giu,5.24018,4.78939,5.24018,5.01073,5.20191
8,1,Destra,5.12218,4.72387,4.92214,5.04177,5.12218
9,1,Destra,4.78066,4.35671,4.75057,4.75628,4.78066
10,1,Giu,5.61756,5.12127,5.61756,5.43694,5.41639
11,1,Destra,4.89018,4.5192,4.79306,4.68626,4.89018
12,1,Sinistra,5.52562,5.11056,5.50246,5.52562,5.15825
13,1,Giu,5.06098,4.6931,5.06098,5.00574,5.03309
14,1,Sinistra,5.439,4.98061,5.1342,5.439,5.20429
0,2,Destra,5.45357,4.8802,5.03244,4.07937,5.45357
1,2,Giu,5.09227,4.55618,5.09227,5.03872,5.04011
2,2,Sinistra,4.9006,4.6409,4.7688,4.9006,4.83629
3,2,Giu,5.51591,4.99592,5.51591,5.06577,5.48732
4,2,Destra,4.95845,4.72068,4.74859,4.61138,4.95845
5,2,Giu,5.33837,4.96072,5.33837,4.89286,5.16749
6,2,Giu,5.40361,4.99234,5.40361,4.99521,5.36241
7,2,Giu,4.91241,4.53626,4.91241,4.66113,4.77111
8,2,Giu,4.85493,4.481,4.85493,4.54394,4.69141
9,2,Destra,4.94218,4.74476,4.68211,4.62346,4.94218
