apprendimento policy e Q
----------------------------------
griglia (18x15):
..................
S###..............
#..#..............
...#..............
...#..............
...#..###....#....
...####.#....#....
....##..#....#....
........#....##...
........#.....#...
.........#....#...
.........G####....
..................
..................
..................

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
0,0,Destra,1.68009,0.617726,1.50467,0.596982,1.68009
1,0,Destra,1.78036,0.716625,0.699908,1.57122,1.78036
2,0,Destra,1.88686,0.803337,0.811415,1.67466,1.88686
3,0,Destra,1.99838,0.933505,0.92865,1.7646,1.99838
4,0,Giu,2.11414,1.02796,2.11414,1.85426,2.07049
5,0,Giu,2.27866,1.16698,2.27866,1.68583,2.0873
6,0,Giu,2.38068,1.21166,2.38068,1.8656,2.18752
7,0,Destra,2.23513,0.951554,2.11621,1.97004,2.23513
8,0,Giu,2.41136,1.32139,2.41136,1.73503,2.25351
9,0,Giu,2.44596,1.22393,2.44596,1.83753,2.2979
10,0,Giu,2.44987,1.38404,2.44987,1.84699,2.34137
11,0,Giu,2.64504,1.587,2.64504,2.47002,2.59193
12,0,Giu,2.90515,1.6928,2.90515,2.69397,2.76087
13,0,Destra,2.688,1.59885,2.62431,2.29787,2.688
14,0,Giu,2.64739,1.51018,2.64739,2.35796,2.3631
15,0,Giu,2.51621,1.4381,2.51621,2.189,2.14614
16,0,Giu,2.31028,1.38036,2.31028,1.95137,2.26564
17,0,Giu,2.43618,1.27452,2.43618,2.20742,1.51878
0,1,Su,1.58529,1.58529,0.511611,0.561796,0.513798
4,1,Destra,2.23328,1.96448,2.22304,1.15812,2.23328
5,1,Destra,2.35905,2.25676,2.33445,2.07943,2.35905
6,1,Giu,2.49049,2.14701,2.49049,2.18607,2.45064
7,1,Destra,2.60791,2.54024,2.43825,2.07779,2.60791
8,1,Giu,2.74471,2.61902,2.74471,2.6704,2.73725
9,1,Giu,2.94914,2.62075,2.94914,2.86004,2.73799
10,1,Destra,3.07917,2.93435,3.06175,2.74727,3.07917
11,1,Giu,3.24791,2.87025,3.24791,3.01203,3.15268
12,1,Destra,3.36842,3.23008,3.32217,3.08029,3.36842
13,1,Giu,3.72173,3.16222,3.72173,2.9899,3.20997
14,1,Destra,2.80056,2.69771,2.68394,2.47678,2.80056
15,1,Giu,2.46232,2.36898,2.46232,2.11231,2.4458
16,1,Giu,2.39313,2.14318,2.39313,2.194,2.25465
17,1,Giu,2.42417,2.18631,2.42417,2.3235,1.87542
1,2,Destra,3.07963,2.54009,2.85112,2.181,3.07963
2,2,Giu,2.91076,2.40569,2.91076,2.55156,2.85996
4,2,Destra,2.35724,2.16975,2.26393,1.10906,2.35724
5,2,Destra,2.4895,2.25706,2.44966,2.06801,2.4895
6,2,Destra,2.62899,2.3298,2.56623,2.38203,2.62899
7,2,Destra,2.77556,2.48131,2.76407,2.49545,2.77556
8,2,Destra,2.93281,2.64652,2.82338,2.64802,2.93281
9,2,Destra,3.09659,2.75347,2.94546,2.87391,3.09659
10,2,Destra,3.26773,2.8942,3.23528,2.91668,3.26773
11,2,Giu,3.44306,3.13847,3.44306,3.18404,3.27923
12,2,Giu,3.6476,3.19459,3.6476,3.3687,3.5458
13,2,Giu,3.80154,3.02931,3.80154,3.16823,3.40858
14,2,Destra,2.74772,2.45764,2.46897,2.63078,2.74772
15,2,Destra,2.61451,2.15927,2.34037,2.26509,2.61451
16,2,Giu,2.95168,2.78049,2.95168,2.6131,2.73947
17,2,Sinistra,2.23801,1.88773,2.12794,2.23801,1.3233
0,3,Giu,3.54743,2.41873,3.54743,2.70012,2.83813
1,3,Destra,3.88179,3.76845,3.71249,3.66641,3.88179
2,3,Giu,3.07029,2.87052,3.07029,3.03683,2.82983
4,3,Destra,2.45802,2.06764,2.2729,0.877893,2.45802
5,3,Destra,2.59217,2.04853,2.14984,1.91009,2.59217
6,3,Destra,2.77842,2.49146,2.59416,2.43982,2.77842
7,3,Destra,2.92325,2.76057,2.68293,2.51521,2.92325
8,3,Destra,3.08154,2.80336,2.90485,2.79821,3.08154
9,3,Destra,3.25331,2.91165,3.05409,2.93428,3.25331
10,3,Giu,3.42982,3.23768,3.42982,3.18856,3.3228
11,3,Destra,3.64094,3.19274,3.62528,3.25724,3.64094
12,3,Destra,3.84421,3.53346,3.55549,3.51652,3.84421
13,3,Giu,4.06072,3.599,4.06072,3.62003,3.62751
14,3,Sinistra,3.84406,3.21312,3.65617,3.84406,3.656
15,3,Destra,3.78351,3.47323,3.61669,3.70631,3.78351
16,3,Giu,4.24412,3.99738,4.24412,4.02027,4.00204
17,3,Su,3.16782,3.16782,2.96448,3.01272,2.17673
0,4,Giu,3.96339,3.44015,3.96339,2.94788,3.84426
1,4,Giu,3.84571,3.74806,3.84571,3.4898,3.42425
2,4,Sinistra,3.42888,3.28794,2.77703,3.42888,2.56236
4,4,Giu,2.20897,1.92287,2.20897,0.738364,2.12976
5,4,Su,2.24796,2.24796,2.16238,1.9644,2.17851
6,4,Destra,2.25362,2.1684,1.18442,2.17359,2.25362
7,4,Destra,2.71708,2.31167,1.70076,2.62691,2.71708
8,4,Destra,3.20074,2.46073,1.77499,3.00782,3.20074
9,4,Destra,3.3934,3.23291,3.17066,3.2967,3.3934
10,4,Destra,3.62588,3.26849,3.26948,3.23219,3.62588
11,4,Destra,3.83403,3.72139,3.44848,3.29618,3.83403
12,4,Destra,4.04496,3.822,3.9849,3.46888,4.04496
13,4,Destra,4.28353,3.79914,3.09409,3.86205,4.28353
14,4,Giu,4.52187,3.64935,4.52187,4.01313,4.08815
15,4,Sinistra,4.31691,3.56274,4.03832,4.31691,4.17758
