apprendimento policy e Q
----------------------------------
griglia (30x15):
..............................
###...........................
..#.####...............##.....
..#.#..#.............##.###...
.##.#..#.............#....#...
.#S.#..#....#........#....#...
.####..#....#........#G...#...
.......###.#######...##..#....
.......#....#.........#..#....
.......#....#.........#..#....
.......#....#......####..#....
............######......##....
..............................
..............................
..............................

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
0,0,Destra,1.53736,-0.156753,-0.503646,-0.43667,1.53736
1,0,Destra,1.88782,1.12124,0.647844,1.0075,1.88782
2,0,Destra,1.72673,0.751813,0.525327,1.09839,1.72673
3,0,Destra,1.21466,0.118648,1.03128,1.01289,1.21466
4,0,Destra,1.22029,0.372685,1.0664,1.07962,1.22029
5,0,Destra,1.29692,0.281692,1.14593,1.02602,1.29692
6,0,Destra,1.37401,0.350613,1.17919,1.02501,1.37401
7,0,Destra,1.4452,0.405282,1.40438,1.19327,1.4452
8,0,Destra,1.53575,0.5528,1.28881,1.40983,1.53575
9,0,Destra,1.60612,0.781371,1.50933,1.26153,1.60612
10,0,Destra,1.71064,0.528912,1.52221,1.5339,1.71064
11,0,Giu,1.78407,1.06896,1.78407,1.42212,1.77635
12,0,Destra,1.87588,0.844279,1.75766,1.50064,1.87588
13,0,Giu,1.9488,1.11588,1.9488,1.74195,1.94526
14,0,Destra,1.86708,1.0817,1.80014,1.40557,1.86708
15,0,Giu,1.93567,1.04617,1.93567,1.61596,1.87207
16,0,Destra,1.96752,1.03591,1.86262,1.81385,1.96752
17,0,Destra,1.83116,1.00639,1.74472,1.55788,1.83116
18,0,Destra,2.09808,1.31687,1.96943,1.81784,2.09808
19,0,Destra,2.20093,1.04937,2.06339,1.8849,2.20093
20,0,Destra,2.0841,1.12026,2.0181,1.94622,2.0841
21,0,Destra,2.23978,1.36784,2.14498,1.93783,2.23978
22,0,Destra,2.04153,1.25241,2.00716,1.81282,2.04153
23,0,Giu,1.88852,0.915809,1.88852,1.58236,1.86698
24,0,Destra,2.33761,1.28377,2.11544,1.94557,2.33761
25,0,Destra,2.16757,0.891211,1.95673,2.01053,2.16757
26,0,Giu,2.19572,1.31295,2.19572,1.86076,2.19452
27,0,Giu,2.12786,1.24706,2.12786,1.74519,2.0084
28,0,Giu,2.12916,1.08032,2.12916,1.81759,1.89881
29,0,Giu,2.12058,1.15913,2.12058,1.89254,1.07171
3,1,Destra,1.20028,1.12918,1.02228,0.122985,1.20028
4,1,Destra,1.27458,1.13649,0.242349,1.0702,1.27458
5,1,Destra,1.35501,1.18201,0.302095,1.18807,1.35501
6,1,Destra,1.43892,1.27229,0.382262,1.26643,1.43892
7,1,Destra,1.51672,1.32814,0.447954,1.319,1.51672
8,1,Giu,1.604,1.42024,1.604,1.41084,1.59899
9,1,Destra,1.70367,1.49234,1.67276,1.53957,1.70367
10,1,Destra,1.80754,1.55863,1.74935,1.68392,1.80754
11,1,Destra,1.90657,1.69054,1.87716,1.5513,1.90657
