apprendimento policy e Q
----------------------------------
griglia (5x5):
##...
S#G..
.##..
..##.
.....

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
2,0,Giu,9.60334,9.02649,9.60334,8.25376,8.25712
3,0,Giu,9.48957,8.14618,9.48957,8.56204,8.65075
4,0,Sinistra,9.07351,7.70741,8.82681,9.07351,8.01323
0,1,Giu,5.60166,4.32653,5.60166,4.32191,4.31889
2,1,Giu,7.25466,6.3851,7.25466,6.07345,6.04494
3,1,Sinistra,10.0001,9.00952,9.00337,10.0001,9.0075
4,1,Sinistra,9.49186,8.71789,8.46463,9.49186,7.88228
0,2,Giu,5.90703,5.31033,5.90703,4.61093,4.61417
3,2,Su,9.4901,9.4901,8.01581,8.01586,8.54577
4,2,Sinistra,9.00549,9.00065,8.11294,9.00549,7.56276
0,3,Destra,6.22846,5.6003,6.22663,4.92054,6.22846
1,3,Giu,6.5668,5.23719,6.5668,5.90618,5.24086
4,3,Su,8.54515,8.54515,7.69258,7.11561,7.11784
0,4,Destra,6.56632,5.89798,5.22312,5.26628,6.56632
1,4,Destra,6.92296,6.23155,5.57561,6.22889,6.92296
2,4,Destra,7.29782,5.93158,5.93508,6.56659,7.29782
3,4,Destra,7.69247,6.30812,6.30825,6.92148,7.69247
4,4,Su,8.1079,8.1079,6.70174,7.2979,6.70116
