apprendimento policy e Q
----------------------------------
griglia (6x30):
......
G.....
###...
......
......
..####
..#...
..#...
..#...
..#..#
..#..#
..#..#
..#..#
.##..#
.#...#
.##..#
.....#
.....#
###..#
......
......
......
..####
......
......
####..
......
......
..####
.....S

X,Y,Azione Ottimale,Valore Q Ottimale,Q_Su,Q_Giu,Q_Sinistra,Q_Destra
0,0,Giu,9.25595,8.76281,9.25595,7.46356,7.66052
1,0,Giu,9.49099,7.95618,9.49099,8.73513,9.10822
2,0,Destra,8.11016,7.39307,7.77972,7.95345,8.11016
3,0,Giu,8.54837,7.10894,8.54837,7.6715,7.50718
4,0,Sinistra,8.12651,6.31079,6.86419,8.12651,6.2734
5,0,Sinistra,5.47466,3.78815,4.52022,5.47466,4.07439
0,1,Su,3.45817,3.45817,3.26244,1.73614,2.95664
1,1,Sinistra,9.99812,8.94107,8.56291,9.99812,9.02031
2,1,Sinistra,9.4876,7.71763,8.0208,9.4876,8.53325
3,1,Sinistra,9.00211,8.13779,8.05047,9.00211,8.1045
4,1,Sinistra,8.53918,8.06654,8.19037,8.53918,8.04189
5,1,Sinistra,8.04104,6.48421,6.68553,8.04104,6.72382
3,2,Su,8.54111,8.54111,7.67924,7.11021,7.69062
4,2,Sinistra,8.1071,8.02445,7.37107,8.1071,7.36105
5,2,Su,7.65489,7.65489,6.06185,5.46876,5.02342
0,3,Destra,6.25466,5.14014,5.2193,4.99604,6.25466
1,3,Giu,6.56121,5.24891,6.56121,5.93258,6.33434
2,3,Destra,7.68944,6.36358,6.84115,6.23437,7.68944
3,3,Su,8.10409,8.10409,7.28324,7.29371,7.29147
4,3,Su,7.69069,7.69069,7.04144,7.51955,6.4599
5,3,Giu,6.67433,5.99775,6.67433,6.23846,5.2948
0,4,Destra,6.56581,6.02588,5.92594,5.22236,6.56581
1,4,Destra,6.9197,6.22966,6.221,6.21998,6.9197
2,4,Su,7.29416,7.29416,5.92062,6.55736,7.29101
3,4,Su,7.69443,7.69443,6.29808,6.9181,6.91634
4,4,Su,7.29177,7.29177,6.19774,7.13602,6.73805
5,4,Sinistra,6.95755,5.43784,5.31305,6.95755,4.85033
0,5,Destra,6.231,6.18829,5.60236,4.90263,6.231
1,5,Su,6.56386,6.56386,5.90095,5.90666,5.23705
0,6,Destra,5.91572,5.82497,5.40873,4.61372,5.91572
1,6,Su,6.22504,6.22504,5.59853,5.59744,4.91641
3,6,Giu,1.5912,1.03851,1.5912,0.622252,1.41704
4,6,Giu,1.43763,0.34826,1.43763,1.31007,1.2435
5,6,Giu,1.30731,0.460692,1.30731,1.0975,0.955995
0,7,Su,5.60709,5.60709,5.0355,4.27784,5.56942
1,7,Su,5.90378,5.90378,5.30074,5.31077,4.61066
3,7,Giu,1.27555,1.15204,1.27555,0.872118,1.06111
4,7,Sinistra,1.53579,1.41393,1.53019,1.53579,1.45277
5,7,Su,1.54208,1.54208,1.3735,0.934493,0.882223
0,8,Destra,5.31052,5.17911,4.83449,4.03571,5.31052
1,8,Su,5.59895,5.59895,5.02983,5.0348,4.32018
3,8,Su,1.28627,1.28627,1.23822,0.613574,1.21413
4,8,Su,1.46585,1.46585,1.39303,1.1387,1.34038
5,8,Su,1.39437,1.39437,0.808083,1.21201,0.771414
0,9,Destra,5.03508,4.99785,4.53213,3.77748,5.03508
1,9,Su,5.30911,5.30911,4.7713,4.77108,4.03819
3,9,Giu,1.34047,1.30855,1.34047,1.03692,1.29477
4,9,Su,1.76879,1.76879,1.61904,1.70283,0.866675
0,10,Destra,4.772,4.75736,4.29261,3.52931,4.772
1,10,Su,5.03339,5.03339,4.51541,4.52457,3.77765
3,10,Su,1.73057,1.73057,1.64477,0.998334,1.35788
4,10,Sinistra,1.72389,1.24251,1.458,1.72389,0.717177
0,11,Su,4.52385,4.52385,4.06246,3.29693,4.52253
1,11,Su,4.77114,4.77114,4.27128,4.29446,3.52875
3,11,Destra,1.67565,1.66961,1.65588,1.28738,1.67565
4,11,Sinistra,1.65882,1.5723,1.30632,1.65882,0.591961
0,12,Su,4.28757,4.28757,3.8613,3.06402,4.27739
1,12,Su,4.52578,4.52578,3.17959,4.39344,3.30574
3,12,Su,1.78379,1.78379,1.64098,0.812475,1.67734
4,12,Su,1.82492,1.82492,1.79406,1.72649,1.40176
0,13,Su,4.0629,4.0629,3.63836,2.86069,2.86445
3,13,Destra,1.7901,1.74105,1.72128,1.37789,1.7901
4,13,Su,1.8415,1.8415,1.75435,1.75675,0.819687
0,14,Su,3.84966,3.84966,3.45632,2.65852,2.65929
2,14,Destra,1.51082,0.326429,0.289613,1.34918,1.51082
3,14,Giu,1.89961,1.75212,1.89961,1.89215,1.69205
4,14,Sinistra,1.86799,1.85731,1.62835,1.86799,1.35463
0,15,Su,3.64688,3.64688,3.27366,2.46298,2.46464
3,15,Destra,2.49446,2.01358,2.2463,1.72532,2.49446
4,15,Giu,2.63349,2.27926,2.63349,2.58563,2.03406
0,16,Su,3.45428,3.45428,3.10042,2.28299,3.10034
1,16,Sinistra,3.27225,2.10813,2.92886,3.27225,2.93453
2,16,Sinistra,3.09966,1.98756,2.77934,3.09966,2.74824
3,16,Sinistra,2.93436,2.32913,2.6563,2.93436,2.6685
4,16,Sinistra,2.77898,2.17415,2.50804,2.77898,1.61935
0,17,Su,3.27185,3.27185,2.1037,2.13748,3.0572
1,17,Su,3.0981,3.0981,1.92972,3.09302,2.77795
2,17,Sinistra,2.93332,2.92985,1.77076,2.93332,2.63032
3,17,Sinistra,2.77708,2.76849,2.48556,2.77708,2.48534
4,17,Sinistra,2.6303,2.54515,2.42794,2.6303,1.51803
3,18,Su,2.62767,2.62767,2.35275,1.49697,2.35264
4,18,Su,2.48755,2.48755,2.23209,2.39264,1.40634
0,19,Destra,2.10487,0.714584,1.82513,1.11765,2.10487
1,19,Destra,2.22423,1.12284,1.98785,2.03701,2.22423
2,19,Destra,2.35135,1.23293,2.10045,2.10091,2.35135
3,19,Su,2.48603,2.48603,2.22987,2.22495,2.22134
4,19,Su,2.35283,2.35283,2.23882,2.27635,2.00279
5,19,Sinistra,2.23707,0.617194,1.35297,2.23707,0.927702
0,20,Su,1.98688,1.98688,1.91064,1.02398,1.93364
1,20,Destra,2.10301,2.09779,1.87717,1.8772,2.10301
2,20,Su,2.22447,2.22447,1.99305,1.98907,2.21856
